iter	Passed	Remaining
0	159	158993
1	160	79950
2	161	53567
3	162	40343
4	162	32411
5	163	27113
6	165	23437
7	166	20633
8	167	18456
9	169	16829
10	175	15759
11	176	14515
12	177	13447
13	178	12544
14	180	11833
15	181	11140
16	181	10517
17	182	9959
18	183	9488
19	185	9083
20	187	8753
21	188	8392
22	189	8052
23	190	7737
24	190	7448
25	192	7206
26	193	6960
27	194	6766
28	196	6565
29	197	6386
30	198	6208
31	199	6035
32	200	5872
33	203	5783
34	204	5650
35	206	5526
36	207	5397
37	208	5274
38	209	5169
39	210	5060
40	212	4972
41	213	4872
42	214	4774
43	215	4691
44	217	4608
45	218	4526
46	219	4451
47	221	4383
48	221	4308
49	226	4310
50	229	4261
51	229	4190
52	234	4191
53	236	4135
54	236	4070
55	237	4006
56	240	3982
57	242	3938
58	243	3884
59	244	3828
60	245	3772
61	246	3735
62	248	3696
63	249	3654
64	250	3606
65	251	3560
66	255	3563
67	258	3546
68	265	3588
69	267	3559
70	272	3560
71	273	3527
72	274	3490
73	279	3502
74	282	3478
75	283	3444
76	288	3462
77	290	3434
78	292	3411
79	294	3382
80	295	3352
81	296	3322
82	297	3288
83	298	3258
84	300	3234
85	301	3206
86	302	3177
87	304	3155
88	306	3134
89	307	3112
90	309	3089
91	310	3065
92	312	3046
93	314	3028
94	315	3008
95	317	2985
96	318	2961
97	320	2953
98	322	2936
99	324	2916
100	325	2893
101	326	2878
102	328	2863
103	330	2844
104	331	2828
105	334	2819
106	336	2808
107	337	2791
108	339	2772
109	342	2772
110	344	2760
111	346	2743
112	347	2726
113	349	2715
114	351	2702
115	353	2690
116	354	2674
117	357	2670
118	359	2659
119	360	2646
120	362	2631
121	364	2619
122	366	2613
123	367	2599
124	369	2584
125	371	2576
126	372	2561
127	374	2553
128	376	2541
129	378	2533
130	380	2523
131	382	2513
132	383	2501
133	385	2491
134	387	2484
135	389	2474
136	391	2463
137	393	2457
138	395	2447
139	396	2438
140	399	2431
141	400	2421
142	402	2412
143	405	2411
144	408	2407
145	410	2400
146	412	2390
147	413	2381
148	416	2376
149	417	2367
150	420	2361
151	422	2359
152	424	2352
153	426	2342
154	427	2332
155	429	2325
156	434	2331
157	436	2324
158	438	2319
159	440	2315
160	442	2304
161	444	2300
162	446	2294
163	449	2289
164	451	2284
165	453	2280
166	455	2273
167	457	2265
168	459	2257
169	462	2258
170	464	2251
171	467	2248
172	469	2244
173	471	2238
174	474	2236
175	476	2230
176	479	2228
177	481	2224
178	483	2219
179	485	2213
180	489	2215
181	493	2217
182	496	2216
183	499	2213
184	501	2209
185	504	2208
186	507	2205
187	509	2200
188	512	2201
189	515	2199
190	519	2198
191	522	2198
192	526	2201
193	530	2204
194	533	2201
195	536	2199
196	539	2198
197	542	2198
198	546	2198
199	550	2200
200	553	2199
201	556	2200
202	560	2202
203	566	2209
204	570	2212
205	575	2216
206	580	2223
207	588	2240
208	594	2251
209	606	2282
210	622	2326
211	633	2355
212	640	2367
213	654	2403
214	673	2458
215	680	2470
216	687	2479
217	690	2475
218	699	2495
219	708	2513
220	720	2539
221	727	2547
222	734	2560
223	742	2572
224	750	2583
225	757	2595
226	765	2605
227	782	2648
228	791	2663
229	801	2681
230	810	2698
231	827	2738
232	838	2761
233	848	2778
234	864	2813
235	869	2815
236	877	2823
237	887	2841
238	895	2851
239	903	2860
240	911	2870
241	921	2886
242	928	2892
243	936	2900
244	945	2914
245	953	2922
246	958	2922
247	963	2920
248	969	2924
249	977	2931
250	984	2936
251	993	2948
252	1001	2957
253	1008	2963
254	1015	2967
255	1022	2972
256	1032	2986
257	1038	2987
258	1046	2994
259	1052	2996
260	1064	3013
261	1072	3020
262	1078	3022
263	1084	3024
264	1090	3023
265	1097	3028
266	1103	3028
267	1109	3029
268	1116	3034
269	1121	3033
270	1127	3032
271	1132	3030
272	1138	3031
273	1143	3030
274	1148	3029
275	1159	3041
276	1166	3043
277	1172	3045
278	1178	3046
279	1184	3045
280	1189	3044
281	1194	3041
282	1199	3038
283	1203	3034
284	1212	3042
285	1222	3052
286	1226	3046
287	1230	3041
288	1234	3037
289	1239	3033
290	1243	3028
291	1251	3035
292	1257	3034
293	1263	3034
294	1273	3044
295	1288	3064
296	1297	3070
297	1305	3075
298	1315	3083
299	1328	3099
300	1354	3144
301	1362	3149
302	1376	3166
303	1381	3163
304	1387	3162
305	1407	3192
306	1411	3187
307	1417	3185
308	1428	3193
309	1441	3207
310	1445	3203
311	1454	3206
312	1462	3209
313	1472	3217
314	1478	3215
315	1483	3210
316	1496	3223
317	1504	3226
318	1513	3231
319	1524	3239
320	1531	3239
321	1536	3235
322	1540	3229
323	1548	3231
324	1557	3234
325	1563	3232
326	1572	3235
327	1579	3236
328	1586	3236
329	1593	3235
330	1601	3237
331	1610	3240
332	1616	3237
333	1624	3238
334	1631	3238
335	1649	3259
336	1661	3268
337	1670	3272
338	1677	3270
339	1685	3271
340	1699	3284
341	1899	3654
342	1951	3738
343	1954	3727
344	2026	3846
345	2061	3897
346	2211	4161
347	2233	4183
348	2241	4181
349	2243	4167
350	2293	4240
351	2308	4250
352	2317	4248
353	2330	4253
354	2360	4289
355	2371	4290
356	2390	4305
357	2405	4313
358	2408	4300
359	2421	4305
360	2447	4331
361	2464	4342
362	2499	4385
363	2512	4389
364	2546	4429
365	2550	4418
366	2559	4415
367	2571	4416
368	2578	4409
369	2589	4409
370	2607	4419
371	2628	4437
372	2630	4422
373	2633	4407
374	2643	4406
375	2651	4400
376	2670	4413
377	2676	4403
378	2681	4393
379	2692	4392
380	2698	4383
381	2713	4389
382	2726	4392
383	2732	4384
384	2735	4369
385	2745	4367
386	2753	4360
387	2758	4350
388	2763	4341
389	2776	4342
390	2783	4335
391	2790	4328
392	2797	4320
393	2799	4306
394	2803	4294
395	2810	4285
396	2819	4282
397	2826	4275
398	2828	4260
399	2831	4246
